CSCSITEID__C,ACCOUNTNAMEENGLISH__C,BRANCH_CUSTOMER_PARTY_KEY,BRANCH_PRIMARY_NAME,HQ_PRIMARY_NAME,GU_PRIMARY_NAME,BRANCH_ISO_COUNTRY_CD,BRANCH_PARTY_SSOT_PARTY_ID_INT,BRANCH_HQ_BRANCH_CD,EXACT_COUNTRY
83764463,,33063963,STREAMLINE PRIVATE LTD,STREAMLINE PRIVATE LTD,STREAMLINE PRIVATE LTD,LKA,83764463,HQ,SRI LANKA
203648838,GENERAL SIR JOHN KOTELAWALA DEFENSE UNIVERSITY,130229801,GENERAL SIR JOHN KOTELAWALA DEFENSE UNIVERSITY,GENERAL SIR JOHN KOTELAWALA DEFENCE UNIVERCITY,GENERAL SIR JOHN KOTELAWALA DEFENCE UNIVERCITY,LKA,203648838,BR,SRI LANKA
183754110,,112746725,RAJARATA UNIVERSITY OF SRI LANKA,RAJARATA UNIVERSITY OF SRI LANKA,RAJARATA UNIVERSITY OF SRI LANKA,LKA,183754110,HQ,SRI LANKA
5752674,STATE MORTGAGE & INVESTMENT BANK,6629741,STATE MORTGAGE & INVESTMENT BANK,STATE MORTGAGE & INVESTMENT BANK,STATE MORTGAGE & INVESTMENT BANK,LKA,5752674,HQ,SRI LANKA
216402707,,142581803,TECHNO E SOLUTIONS PVT LTD,TECHNO E SOLUTIONS  PVT LTD,TECHNO E SOLUTIONS  PVT LTD,LKA,216402707,BR,SRI LANKA
40739603,,12164022,NATIONAL INSTITUTE OF EDUCATION,NATIONAL INSTITUTE OF EDUCATIONAL TESTING SERVICE,NATIONAL INSTITUTE OF EDUCATIONAL TESTING SERVICE,LKA,40739603,HQ,SRI LANKA
359381546,,242515419,AMEISEN PRIVATE LTD,AMEISEN PRIVATE LTD,AMEISEN PRIVATE LTD,LKA,359381546,HQ,SRI LANKA
125220368,CARGILLS (CEYLON) LIMITED,60480653,CARGILS GROUP,CARGILLS (CEYLON) LIMITED,CARGILLS (CEYLON) LIMITED,LKA,125220368,BR,SRI LANKA
42253370,Shell Group,14313523,SHELL GROUP,ROYAL DUTCH SHELL PLC,ROYAL DUTCH SHELL PLC,LKA,42253370,HQ,SRI LANKA
111814185,Dewhirst Sri-Lanka Buying Office,48382186,DEWHIRST SRI-LANKA BUYING OFFICE,DEWHIRST SRI-LANKA BUYING OFFICE,DEWHIRST SRI-LANKA BUYING OFFICE,LKA,111814185,HQ,SRI LANKA
177462400,ACUITY SECURITIES LTD,108396768,ACUITY SECURITIES LTD,ACUITY PARTNERS PVT LTD,ACUITY PARTNERS PVT LTD,LKA,177462400,BR,SRI LANKA
355168828,CHARTERED INSTITUTE FOR SECURITIES & INVESTMENT,238836869,CHARTERED INSTITUTE FOR SECURITIES & INVESTMENT,CHARTERED INSTITUTE FOR SECURITIES & INVESTMENT,CISI LTD,LKA,355168828,HQ,SRI LANKA
116947380,Air South Asia,50634208,AIR SOUTH ASIA,AIR SOUTH ASIA,AIR SOUTH ASIA,LKA,116947380,HQ,SRI LANKA
169559255,Senkadagala Finance,103158363,SENKADAGALA FINANCE,SENKADAGALA FINANCE,SENKADAGALA FINANCE,LKA,169559255,BR,SRI LANKA
41495726,Cash garments,6750588,CASH GARMENTS,CASH GARMENTS,CASH GARMENTS,LKA,41495726,HQ,SRI LANKA
266953699,CEYLON TEA TRAILS,179237558,CEYLON TEA TRAILS,CEYLON TEA TRAILS,CEYLON TEA TRAILS,LKA,266953699,HQ,SRI LANKA
145791012,Edirisinghe Trust Investments Ltd,79114429,EDIRISINGHE TRUST INVESTMENTS LTD,EDIRISINGHE TRUST INVESTMENTS LTD,EDIRISINGHE TRUST INVESTMENTS LTD,LKA,145791012,HQ,SRI LANKA
334503229,,225130571,EW BALASURIYA COMPANY PVT LTD,EW BALASURIYA COMPANY PVT LTD,EW BALASURIYA COMPANY PVT LTD,LKA,334503229,HQ,SRI LANKA
7292900,BUSINESS SOLUTION SYSTEMS PVT LTD,5191085,BUSINESS SOLUTION SYSTEMS PRIVATE LTD,BUSINESS SOLUTION SYSTEMS PRIVATE LTD,BUSINESS SOLUTION SYSTEMS PRIVATE LTD,LKA,7292900,HQ,SRI LANKA
204035012,UB Finance,130367165,UB FINANCE,UB FINANCE,UB FINANCE,LKA,204035012,HQ,SRI LANKA
235653862,CMA CGM SHARED SERVICE CENTER LANKA PVT LTD,158781096,CMA CGM SHARED SERVICE CENTER LANKA PVT LTD,CMA CGM SA,CMA CGM SA,LKA,235653862,HQ,SRI LANKA
114261106,eServices Lanka Ltd.,49511615,ESERVICES LANKA LTD,ESERVICES LANKA,E-SERVICES,LKA,114261106,BR,SRI LANKA
32692558,,10192813,CENTRAL FINANCE LTD,CENTRAL FINANCE LTD,CENTRAL FINANCE LTD,LKA,32692558,HQ,SRI LANKA
41495280,Royal Ceramics Lanka Limited,4860616,ROYAL CERAMICS LANKA LTD,ROYAL CERAMICS,ROYAL CERAMICS,LKA,41495280,BR,SRI LANKA
359125630,,242300706,PIDILITE LANKA PRIVATE LTD,PIDILITE LANKA PRIVATE LTD,PIDILITE LANKA PRIVATE LTD,LKA,359125630,HQ,SRI LANKA
45434468,,10903566,CADENZA IT PRIVATE LTD,CADENZA IT PRIVATE LTD,CADENZA IT PRIVATE LTD,LKA,45434468,HQ,SRI LANKA
276725922,,189130424,SILVERLINE INFORMATION TECHNOLOGY PVT LTD,SILVERLINE INFORMATION TECHNOLOGY PVT LTD,SILVERLINE INFORMATION TECHNOLOGY PVT LTD,LKA,276725922,HQ,SRI LANKA
231851417,,155379068,KNC COMPUTER TECHNOLOGIES PVT LTD,KNC COMPUTER TECHNOLOGIES PVT LTD,KNC COMPUTER TECHNOLOGIES PVT LTD,LKA,231851417,HQ,SRI LANKA
6903844,SUNTEL LIMITED,7237323,SUNTEL LIMITED,SUNTEL LIMITED,SUNTEL LIMITED,LKA,6903844,BR,SRI LANKA
248184092,HUTCHISON TELECOMMUNICATIONS LANKA (PVT) LIMITED,166251191,HUTCHISON TELECOMMUNICATIONS LANKA  PVT LTD,HUTCHISON TELECOMMUNICATIONS LANKA PVT LTD,HUTCHISON WHAMPOA LTD,LKA,248184092,BR,SRI LANKA
354992570,,238615998,HCL TECHNOLOGIES LANKA PVT LTD,HCL SRI LANKA,HCL TECHNOLOGIES LTD,LKA,354992570,BR,SRI LANKA
41497456,ACL Cables,14701076,ACL CABLES,A C L CABLES LIMITED,A C L CABLES LIMITED,LKA,41497456,BR,SRI LANKA
